period,C,J,N,S
4/20/2021 16:15,,,,0.01
4/20/2021 16:30,,0.01,,
4/20/2021 16:45,,0.01,0.01,
4/20/2021 17:00,,,,0.01
4/20/2021 17:15,0.02,,0.02,0.01
4/20/2021 17:30,0.01,,,0.01
4/20/2021 17:45,,,0.02,0.01
4/20/2021 18:00,,,0.01,
4/20/2021 18:30,0.01,,,0.01
4/20/2021 19:15,0.01,,0.01,0.01
4/20/2021 19:45,,,,0.01
4/20/2021 20:00,,,,0.01
4/20/2021 20:15,0.01,,0.01,
4/20/2021 20:30,0.02,,,0.01
4/20/2021 20:45,0.01,,0.01,0.02
4/20/2021 21:00,,,,0.01
4/20/2021 21:15,,,0.01,
4/20/2021 21:30,0.01,,,0.01
4/20/2021 21:45,0.01,,0.01,0.01
4/20/2021 22:15,,,,0.01
4/20/2021 22:30,,,0.01,
4/20/2021 23:45,0,0,0,0
4/21/2021 9:15,,0.13,,
4/21/2021 9:30,,0.06,,
4/21/2021 9:45,,0.01,,
4/21/2021 17:15,,0.01,,
4/21/2021 23:45,0,0,0,0
4/22/2021 23:45,0,0,0,0
4/23/2021 23:45,0,0,0,0
4/24/2021 12:00,,0.01,,0.01
4/24/2021 15:00,,0.01,,
4/24/2021 15:15,,,,0.01
4/24/2021 15:30,,0.01,0.01,
4/24/2021 15:45,,,,0.01
4/24/2021 16:00,0.01,,0.01,
4/24/2021 16:15,,0.01,,
4/24/2021 23:45,0,0,0,0
4/25/2021 6:30,0.01,,,
4/25/2021 23:45,0,0,0,0
4/26/2021 23:45,0,0,0,0
4/27/2021 23:45,0,0,0,0
4/28/2021 9:45,,0.01,,0.01
4/28/2021 10:00,,,0.01,
4/28/2021 23:45,0,0,0,0
4/29/2021 4:00,,,,0.01
4/29/2021 4:30,,0.01,,
4/29/2021 5:00,,,0.01,0.01
4/29/2021 5:15,0.01,0.01,0.01,
4/29/2021 5:30,,0.01,,0.01
4/29/2021 6:00,,,,0.01
4/29/2021 6:15,0.01,0.01,0.01,0.01
4/29/2021 6:30,0.02,0.02,0.02,0.01
4/29/2021 6:45,0.01,,0.01,0.01
4/29/2021 7:00,,0.01,0.01,0.01
4/29/2021 7:15,0.02,0.01,0.01,
4/29/2021 9:45,,0.02,,
4/29/2021 10:00,0.01,0.01,0.01,
4/29/2021 10:15,0.01,0.01,0.02,
4/29/2021 10:30,0.01,0.03,,
4/29/2021 10:45,0.01,,0.01,0.01
4/29/2021 11:00,,0.01,0.01,0.01
4/29/2021 11:15,0.01,,,
4/29/2021 11:30,,0.01,,0.01
4/29/2021 11:45,0.01,,,
4/29/2021 12:00,,,0.01,0.01
4/29/2021 13:30,0.01,,,0.01
4/29/2021 13:45,,0.01,0.01,0.01
4/29/2021 14:00,0.01,0.02,0.01,0.02
4/29/2021 14:15,0.01,,,0.02
4/29/2021 14:30,,,0.01,0.01
4/29/2021 14:45,0.01,0.01,0.01,
4/29/2021 15:00,0.01,0.02,0.01,0.01
4/29/2021 15:15,0.02,0.03,0.03,0.03
4/29/2021 15:30,0.02,0.01,0.02,0.01
4/29/2021 15:45,0.01,,,0.01
4/29/2021 16:00,,0.01,,
4/29/2021 21:45,,,0.01,
4/29/2021 23:45,0,0,0,0
4/30/2021 7:45,,0.01,,0.01
4/30/2021 8:00,,0.01,0.01,0.01
4/30/2021 8:15,0.01,,,0.01
4/30/2021 8:30,,0.01,0.01,
